Archivo PDF,ORCIDs Totales,ORCIDs CECAN,Autores CECAN,Todos los ORCIDs
20- 209 Gene content  phage cycle regulation model and prophage inactivation disclosed by prophage genomics in the Helicobacter pylori Genome Project.pdf,1,,,0000-0003-4635-0105
19- mondaca-et-al-2024-clinical-and-genomic.pdf,13,,,"0000-0001-5474-218X, 0000-0003-1188-350X, 0000-0002-4597-2458, 0000-0002-7029-4310, 0000-0002-0131-4904, 0000-0001-8313-8774, 0000-0001-6661-8733, 0000-0003-2631-8618, 0000-0003-2886-5228, 0000-0002-2320-1564, 0000-0002-0907-903X, 0000-0002-1522-8054, 0000-0002-3016-7261"
24- IFSO_10_2340327.pdf,1,,,0000-0001-6986-8842
06- ijms-25-04695 K Marcelain.pdf,9,,,"0000-0002-7813-1380, 0000-0003-0324-2948, 0000-0003-4012-2662, 0000-0003-4018-6623, 0009-0005-3491-6898, 0000-0003-2567-0521, 0000-0003-2898-0541, 0000-0002-8660-2779, 0000-0002-3013-2106"
21-  Diagnóstico y etapificación de cáncer de mama en Chile_ Medwave.pdf,4,,,"0000-0003-3757-4262, 0000-0002-7412-4159, 0000-0002-3525-011X, 0000-0003-0756-1954"
04- medwave_2023_2771.pdf,3,,,"0000-0001-8318-4201, 0000-0003-3001-8167, 0000-0002-6341-1865"
14- Challenges for gene therapy MEspinoza s13023-024-03249-z.pdf,1,,,0000-0001-9564-9512
01- mps-07-00024.pdf,3,,,"0000-0001-9564-9512, 0000-0001-8318-4201, 0000-0002-3016-7261"
18- pharmaceutics-16-00561-v2 G Owen.pdf,7,,,"0000-0002-3132-226X, 0009-0001-4402-2020, 0000-0003-2679-9503, 0000-0001-8234-6299, 0000-0002-7967-5320, 0000-0003-3807-6054, 0000-0002-9525-389X"
16- biomedicines-12-00728 K Marcelain 2.pdf,5,,,"0000-0003-4018-6623, 0000-0002-5938-5940, 0000-0003-2567-0521, 0000-0001-9984-2985, 0000-0001-9568-0675"
25- Cholecystectomy and digestive cancer in Chile.pdf,1,,,0000-0002-6568-5333
15- Harnessing Health Technology Assessment in Latin America and the Caribbean  Keeping the Region on Course.pdf,2,,,"0000-0001-9564-9512, 0000-0002-3160-7097"
10- ijms-25-03332 S Indo et al 2024.pdf,4,,,"0000-0002-9390-0758, 0000-0002-3770-8550, 0009-0000-4691-0956, 0000-0003-4012-2662"
13- ijms-25-06740.pdf,3,,,"0000-0002-9545-3971, 0000-0002-3817-4896, 0000-0003-1678-2708"
11- gutjnl-2023-331059.pdf,6,,,"0000-0002-1547-2292, 0000-0002-3631-9326, 0000-0001-8313-8774, 0000-0002-2049-9959, 0009-0003-8074-5781, 0000-0002-8259-8960"
23- 2023 cancers-16-00080.pdf,5,,,"0009-0007-7611-1822, 0000-0001-6889-976X, 0000-0003-2812-0015, 0000-0002-1115-2937, 0000-0002-4711-8634"
01-2024  10- 206 Silva F Rev Perú.pdf,20,,,"0000-0002-1547-2292, 0000-0003-2008-1605, 0009-0000-8546-1276, 0000-0003-0882-9713, 0000-0003-1856-7737, 0000-0001-9564-9512, 0000-0001-5707-6290, 0000-0001-6371-3516, 0009-0001-8454-1634, 0000-0002-4607-377X, 0000-0002-0141-0226, 0009-0003-8074-5781, 0009-0003-1270-0370, 0000-0001-7339-6542, 0009-0000-7941-4297, 0000-0002-8259-8960, 0009-0000-9225-2114, 0000-0003-3784-1463, 0009-0001-7672-4676, 0000-0002-9691-0441"
02-2024  27- Chronic Atrophic Gastritis and Interstinal Metaplasia Nolo R. kjhugr-2024-0017.pdf,4,,,"0000-0002-8259-8960, 0009-0003-8074-5781, 0000-0001-6371-3516, 0000-0001-7339-6542"
